subscribers,video views,category,uploads,Country,channel_type,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,Gross tertiary education enrollment (%),Population,Unemployment rate
23800000,17688774915.0,Music,443,United States,Music,368700.0,5900000.0,2007.0,Apr,88.2,328239523.0,14.7
23700000,2543809954.0,Gaming,1732,United States,Games,25100.0,401700.0,2011.0,Nov,88.2,328239523.0,14.7
23700000,7451792132.0,Gaming,0,Canada,Games,0.0,0.0,2012.0,Nov,68.9,36991981.0,5.56
23700000,15510153803.0,People & Blogs,1099,United Kingdom,Entertainment,98400.0,1600000.0,2014.0,Sep,60.0,66834405.0,3.85
23700000,20289689389.0,Pets & Animals,769,United States,Animals,2300000.0,36200000.0,2020.0,Aug,88.2,328239523.0,14.7
23600000,2135644776.0,Entertainment,226,Mexico,People,140600.0,2200000.0,2014.0,Jun,40.2,126014024.0,3.42
23600000,5994002464.0,Entertainment,719,United States,Entertainment,32400.0,518600.0,2015.0,Aug,88.2,328239523.0,14.7
23600000,6766461070.0,Entertainment,552,United States,Entertainment,133600.0,2100000.0,2013.0,Aug,88.2,328239523.0,14.7
23600000,7920637200.0,Film & Animation,1251,United Kingdom,Film,160800.0,2600000.0,2014.0,Jul,60.0,66834405.0,3.85
23500000,14777034543.0,Gaming,6066,United Kingdom,Games,125000.0,2000000.0,2014.0,May,60.0,66834405.0,3.85
23500000,14696994366.0,People & Blogs,1044,United Kingdom,Entertainment,178900.0,2900000.0,2014.0,Nov,60.0,66834405.0,3.85
23400000,9465863821.0,Film & Animation,6672,India,Film,1100000.0,17600000.0,2020.0,Oct,28.1,1366417754.0,5.36
23400000,7926899136.0,Film & Animation,1291,Brazil,Entertainment,84900.0,1400000.0,2014.0,Apr,51.3,212559417.0,12.08
23300000,22471357411.0,Entertainment,3657,United States,Entertainment,372600.0,6000000.0,2006.0,Jan,88.2,328239523.0,14.7
23200000,2634.0,Science & Technology,1,United States,Entertainment,0.0,0.0,2016.0,Mar,88.2,328239523.0,14.7
23200000,15751661213.0,People & Blogs,172,United States,Music,429500.0,6900000.0,2008.0,May,88.2,328239523.0,14.7
23100000,12889240875.0,Music,22578,India,Music,158000.0,2500000.0,2014.0,Aug,28.1,1366417754.0,5.36
23100000,25579831081.0,Music,15462,Thailand,Music,390700.0,6300000.0,2010.0,Nov,49.3,69625582.0,0.75
23100000,2551113422.0,People & Blogs,4445,United States,Tech,39700.0,635800.0,2006.0,Dec,88.2,328239523.0,14.7
23100000,9299371231.0,Music,456,India,Music,912100.0,14600000.0,2016.0,Sep,28.1,1366417754.0,5.36
23100000,13151870846.0,Shows,3781,United States,Music,385300.0,6200000.0,2013.0,Aug,88.2,328239523.0,14.7
23000000,31494513067.0,Entertainment,2905,Germany,Comedy,2300000.0,36300000.0,2019.0,Jul,70.2,83132799.0,3.04
23000000,3378047383.0,Science & Technology,5041,India,Tech,66800.0,1100000.0,2015.0,Oct,28.1,1366417754.0,5.36
23000000,6041264489.0,Entertainment,1598,Argentina,Entertainment,106600.0,1700000.0,2006.0,Mar,90.0,44938712.0,9.79
23000000,10939966484.0,Entertainment,5718,India,Music,279500.0,4500000.0,2014.0,Mar,28.1,1366417754.0,5.36
22900000,5320485069.0,Movies,1670,India,Film,0.0,0.0,2011.0,May,28.1,1366417754.0,5.36
22900000,5380073627.0,Film & Animation,0,United States,Games,0.0,0.0,2006.0,Mar,88.2,328239523.0,14.7
22900000,16298342829.0,Music,1159,Jordan,Music,507200.0,8100000.0,2012.0,Nov,34.4,10101694.0,14.72
22900000,13206471140.0,Education,1251,Mexico,Education,410500.0,6600000.0,2018.0,Mar,40.2,126014024.0,3.42
22700000,10115316784.0,People & Blogs,985,United States,Education,465600.0,7500000.0,2015.0,Sep,88.2,328239523.0,14.7
22600000,20847038152.0,People & Blogs,60964,India,Entertainment,2900000.0,47100000.0,2016.0,Feb,28.1,1366417754.0,5.36
22600000,9223534599.0,Comedy,495,India,Entertainment,1200000.0,19200000.0,2020.0,Jun,28.1,1366417754.0,5.36
22600000,14231943358.0,Music,180,United States,Music,245000.0,3900000.0,2012.0,Sep,88.2,328239523.0,14.7
22600000,17507060680.0,People & Blogs,1189,Saudi Arabia,Entertainment,221500.0,3500000.0,2010.0,Dec,68.0,34268528.0,5.93
22600000,13405849040.0,Music,171,United States,Music,285800.0,4600000.0,2007.0,Nov,88.2,328239523.0,14.7
22600000,27084848152.0,People & Blogs,2321,United States,People,3500000.0,56300000.0,2021.0,Sep,88.2,328239523.0,14.7
22500000,2431154438.0,Film & Animation,3377,India,Film,146200.0,2300000.0,2015.0,Sep,28.1,1366417754.0,5.36
22500000,13835173331.0,Gaming,3315,United States,Games,525300.0,8400000.0,2009.0,Nov,88.2,328239523.0,14.7
22400000,8040036209.0,Music,58,Argentina,Music,216700.0,3500000.0,2016.0,Aug,90.0,44938712.0,9.79
22300000,8663830163.0,People & Blogs,34,France,Music,2.0,35.0,2019.0,Nov,65.6,67059887.0,8.43
22300000,24059336857.0,Gaming,1724,United States,Games,396300.0,6300000.0,2013.0,May,88.2,328239523.0,14.7
22200000,11136266461.0,Entertainment,999,United States,Entertainment,418000.0,6700000.0,2015.0,Sep,88.2,328239523.0,14.7
22000000,9924807127.0,Music,157,United States,Music,334500.0,5400000.0,2009.0,Sep,88.2,328239523.0,14.7
22000000,18347969186.0,Entertainment,6274,Japan,Entertainment,2100000.0,34100000.0,2021.0,Feb,63.2,126226568.0,2.29
21900000,4454917643.0,Film & Animation,301,United States,Entertainment,554800.0,8900000.0,2014.0,Jun,88.2,328239523.0,14.7
21900000,5918314128.0,People & Blogs,946,United States,People,702700.0,11200000.0,2014.0,Jul,88.2,328239523.0,14.7
21900000,15552070846.0,Comedy,816,United States,Comedy,2100000.0,33000000.0,2014.0,Jul,88.2,328239523.0,14.7
21900000,20657571751.0,Entertainment,116,Mexico,Music,14.0,227.0,2008.0,Apr,40.2,126014024.0,3.42
21800000,4469711607.0,People & Blogs,257,United States,People,593900.0,9500000.0,2008.0,Apr,88.2,328239523.0,14.7
21800000,5614621131.0,Science & Technology,10162,United States,Entertainment,137400.0,2200000.0,2006.0,May,88.2,328239523.0,14.7
21800000,11288359365.0,Music,164,United Kingdom,Music,384100.0,6100000.0,2011.0,Feb,60.0,66834405.0,3.85
21800000,12140232004.0,Music,266,United Kingdom,Music,153400.0,2500000.0,2010.0,Dec,60.0,66834405.0,3.85
21600000,9597894786.0,Autos & Vehicles,2942,Brazil,Entertainment,579500.0,9300000.0,2013.0,Mar,51.3,212559417.0,12.08
21600000,5863377051.0,Howto & Style,219,India,Howto,583800.0,9300000.0,2018.0,Apr,28.1,1366417754.0,5.36
21600000,9346383505.0,Entertainment,228,United States,Entertainment,191800.0,3100000.0,2019.0,May,88.2,328239523.0,14.7
