,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
307,22600000,The Chainsmokers,14231943358.0,Music,180,United States,245000.0,3900000.0,2012,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
308,22600000,mmoshaya,17507060680.0,Lifestyle,1189,Saudi Arabia,221500.0,3500000.0,2010,68.0,34268528.0,5.93,Entertainment,23.885942,45.079162,Asia
309,22600000,Sia,13405849040.0,Music,171,United States,285800.0,4600000.0,2007,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
310,22600000,LeoNata Family,27084848152.0,Lifestyle,2321,United States,3500000.0,56300000.0,2021,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
311,22500000,Goldmines Cineplex,2431154438.0,Media,3377,India,146200.0,2300000.0,2015,28.1,1366417754.0,5.36,Film,20.593684,78.96288,Asia
313,22500000,SSundee,13835173331.0,Gaming & Sports,3315,United States,525300.0,8400000.0,2009,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
314,22400000,Paulo Londra,8040036209.0,Music,58,Argentina,216700.0,3500000.0,2016,90.0,44938712.0,9.79,Music,-38.416097,-63.616672,S.America
315,22300000,Smile Family,8663830163.0,Lifestyle,34,France,2.0,35.0,2019,65.6,67059887.0,8.43,Music,46.227638,2.213749,Europe
316,22300000,FGTeeV,24059336857.0,Gaming & Sports,1724,United States,396300.0,6300000.0,2013,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
317,22200000,Kinder Spielzeug Kanal (Kidibli),11136266461.0,Entertainment,999,United States,418000.0,6700000.0,2015,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
318,22000000,Charlie Puth,9924807127.0,Music,157,United States,334500.0,5400000.0,2009,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
320,22000000,Sagawa /ï¿½ï¿½ï¿½,18347969186.0,Entertainment,6274,Japan,2100000.0,34100000.0,2021,63.2,126226568.0,2.29,Entertainment,36.204824,138.252924,Asia
321,21900000,Ben Azelart,4454917643.0,Media,301,United States,554800.0,8900000.0,2014,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
322,21900000,Zach Choi ASMR,5918314128.0,Lifestyle,946,United States,702700.0,11200000.0,2014,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
323,21900000,Topper Guild,15552070846.0,Lifestyle,816,United States,2100000.0,33000000.0,2014,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
324,21900000,Disney Latinoamï¿½ï¿½,20657571751.0,Entertainment,116,Mexico,14.0,227.0,2008,40.2,126014024.0,3.42,Music,23.634501,-102.552784,N.America
325,21800000,Stokes Twins,4469711607.0,Lifestyle,257,United States,593900.0,9500000.0,2008,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
326,21800000,National Geographic,5614621131.0,Education,10162,United States,137400.0,2200000.0,2006,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
327,21800000,Dua Lipa,11288359365.0,Music,164,United Kingdom,384100.0,6100000.0,2011,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
328,21800000,OneDirectionVEVO,12140232004.0,Music,266,United Kingdom,153400.0,2500000.0,2010,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
333,21600000,DUDU e CAROL,9597894786.0,Lifestyle,2942,Brazil,579500.0,9300000.0,2013,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
334,21600000,Village Cooking Channel,5863377051.0,Education,219,India,583800.0,9300000.0,2018,28.1,1366417754.0,5.36,Howto,20.593684,78.96288,Asia
335,21600000,Eva Bravo Play,9346383505.0,Entertainment,228,United States,191800.0,3100000.0,2019,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
336,21500000,Tekashi 6ix9ine,5890180734.0,Lifestyle,51,United States,340600.0,5400000.0,2018,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
337,21500000,Tlnovelas,15013096899.0,Education,158,Mexico,46.0,742.0,2014,40.2,126014024.0,3.42,Entertainment,23.634501,-102.552784,N.America
339,21500000,invictor,8409641722.0,Gaming & Sports,17,Chile,0.15,2.0,2016,88.5,18952038.0,7.09,People,-35.675147,-71.542969,S.America
341,21400000,Sidhu Moose Wala,6264261757.0,Music,114,India,482100.0,7700000.0,2017,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
342,21300000,The Royalty Family,6269945014.0,Lifestyle,733,United States,480700.0,7700000.0,2017,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
343,21300000,Becky G,10644857969.0,Music,78,United States,309500.0,5000000.0,2011,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
344,21300000,Ishaan Ali 11,12761253839.0,Lifestyle,951,India,2200000.0,35000000.0,2016,28.1,1366417754.0,5.36,People,20.593684,78.96288,Asia
345,21300000,Infinite,5141834668.0,Entertainment,1608,United States,205100.0,3300000.0,2014,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
346,21300000,Azhan5star,10047736580.0,Entertainment,669,India,708900.0,11300000.0,2021,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
347,21300000,Dangal TV Channel,12895427184.0,Entertainment,20225,India,1700000.0,26900000.0,2017,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
349,21200000,GMA Public  Affairs,11364908616.0,Entertainment,31989,Philippines,427000.0,6800000.0,2009,35.5,108116615.0,2.15,News,12.879721,121.774017,Asia
350,21100000,Tasty,5783557209.0,Education,4728,United States,74100.0,1200000.0,2016,88.2,328239523.0,14.7,Howto,37.09024,-95.712891,N.America
